               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12178,             0.16484,                   0,           0.0044444,            0.045147,            0.002456,          0.00072895,             0.11706,             0.14646,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.12092,             0.16309,                   0,           0.0062222,            0.063205,           0.0038765,           0.0010553,             0.11694,              0.1464,                   0,            0.088287,           0.0012871,           0.0012871
                   2,             0.12127,             0.16016,                   0,           0.0062222,            0.063205,            0.005368,           0.0012411,             0.11608,             0.14911,                   0,             0.08196,           0.0019604,           0.0019604
                   3,             0.12068,             0.16662,                   0,           0.0073333,            0.074492,           0.0054764,           0.0014783,             0.11541,             0.15173,                   0,             0.07562,           0.0026198,           0.0026198
                   4,             0.11931,             0.17659,                   0,           0.0075556,            0.076749,           0.0044642,           0.0011928,             0.11454,             0.15454,                   0,            0.069265,           0.0032654,           0.0032654
                   5,             0.11602,             0.16098,                   0,           0.0086667,            0.088036,           0.0055558,           0.0012668,             0.11339,             0.15801,                   0,            0.062897,            0.003897,            0.003897
                   6,             0.11768,             0.17787,                   0,           0.0086667,            0.088036,           0.0055558,           0.0012668,             0.11339,             0.15801,                   0,            0.056515,           0.0045149,           0.0045149
                   7,             0.11474,             0.19871,                   0,           0.0082222,            0.083521,           0.0053921,           0.0014189,             0.11168,             0.16263,                   0,            0.050119,           0.0051188,           0.0051188
                   8,             0.11469,             0.20424,                   0,               0.014,             0.14221,            0.011639,           0.0025703,             0.10949,             0.16938,                   0,            0.043709,            0.005709,            0.005709
                   9,             0.11556,             0.21183,                   0,               0.014,             0.14221,            0.011639,           0.0025703,             0.10949,             0.16938,                   0,            0.037285,           0.0062852,           0.0062852
                  10,             0.11153,             0.19638,                   0,               0.016,             0.16253,            0.009884,           0.0025768,             0.10919,             0.17118,                   0,            0.030848,           0.0068476,           0.0068476
                  11,             0.10991,             0.18618,                   0,               0.016,             0.16253,            0.009884,           0.0025768,             0.10919,             0.17118,                   0,            0.024396,           0.0073961,           0.0073961
                  12,             0.11114,             0.19039,                   0,               0.016,             0.16253,            0.013778,           0.0037441,             0.10869,             0.17271,                   0,            0.017931,           0.0079308,           0.0079308
                  13,              0.1131,             0.22355,                   0,               0.016,             0.16253,            0.013778,           0.0037441,             0.10869,             0.17271,                   0,            0.011452,           0.0084516,           0.0084516
                  14,             0.11075,             0.19262,                   0,            0.029539,             0.16704,            0.022721,           0.0062486,             0.10741,             0.17487,                   0,            0.008614,            0.008614,            0.008614
                  15,              0.1096,             0.16833,                   0,            0.029539,             0.16704,            0.022721,           0.0062486,             0.10741,             0.17487,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.11103,             0.19864,                   0,            0.094446,            0.097065,            0.034661,            0.010002,              0.1048,             0.18089,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.10955,             0.18628,                   0,            0.094446,            0.097065,            0.034661,            0.010002,              0.1048,             0.18089,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.11029,             0.21488,                   0,            0.094446,            0.097065,            0.034661,            0.010002,              0.1048,             0.18089,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.10712,             0.19483,                   0,              0.1111,            0.099594,            0.041282,            0.012491,             0.10447,              0.1829,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.10851,             0.20622,                   0,              0.1111,            0.099594,            0.041282,            0.012491,             0.10447,              0.1829,                   0,            0.008119,            0.008119,            0.008119
                  21,             0.10977,             0.19099,                   0,             0.12294,             0.11964,            0.044463,            0.012758,             0.10381,             0.18182,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.11006,             0.21939,                   0,             0.12294,             0.11964,            0.044463,            0.012758,             0.10381,             0.18182,                   0,            0.007921,            0.007921,            0.007921
                  23,              0.1058,             0.19731,                   0,             0.10384,             0.13995,             0.05731,            0.015595,             0.10395,             0.17566,                   0,            0.007822,            0.007822,            0.007822
                  24,             0.10636,             0.19837,                   0,             0.10384,             0.13995,             0.05731,            0.015595,             0.10395,             0.17566,                   0,            0.007723,            0.007723,            0.007723
                  25,             0.10734,             0.20956,                   0,              0.1182,             0.19865,             0.06942,            0.018829,             0.10587,             0.17231,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.10798,             0.20796,                   0,              0.1182,             0.19865,             0.06942,            0.018829,             0.10587,             0.17231,                   0,            0.007525,            0.007525,            0.007525
                  27,             0.10986,             0.21392,                   0,              0.1182,             0.19865,             0.06942,            0.018829,             0.10587,             0.17231,                   0,            0.007426,            0.007426,            0.007426
                  28,             0.10781,             0.17629,                   0,             0.16847,             0.18059,            0.081593,            0.021223,              0.1032,             0.17569,                   0,            0.007327,            0.007327,            0.007327
                  29,             0.10641,             0.20288,                   0,             0.16847,             0.18059,            0.081593,            0.021223,              0.1032,             0.17569,                   0,            0.007228,            0.007228,            0.007228
                  30,             0.10362,             0.17145,                   0,             0.17079,             0.22573,             0.10633,            0.027466,             0.10136,             0.16531,                   0,            0.007129,            0.007129,            0.007129
                  31,             0.10383,             0.18443,                   0,             0.17079,             0.22573,             0.10633,            0.027466,             0.10136,             0.16531,                   0,             0.00703,             0.00703,             0.00703
                  32,             0.10566,             0.19942,                   0,             0.22144,             0.23928,             0.12307,            0.030846,            0.098107,             0.16117,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.098872,              0.1989,                   0,             0.22144,             0.23928,             0.12307,            0.030846,            0.098107,             0.16117,                   0,            0.006832,            0.006832,            0.006832
                  34,             0.10028,             0.20648,                   0,             0.22144,             0.23928,             0.12307,            0.030846,            0.098107,             0.16117,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.098408,             0.18803,                   0,             0.24442,             0.25508,              0.1416,            0.036177,            0.095408,             0.15879,                   0,            0.006634,            0.006634,            0.006634
                  36,             0.10178,             0.20168,                   0,             0.24442,             0.25508,              0.1416,            0.036177,            0.095408,             0.15879,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.098325,             0.17158,                   0,             0.22615,              0.3228,             0.14463,            0.038905,            0.092565,             0.15609,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.095985,             0.19321,                   0,             0.22615,              0.3228,             0.14463,            0.038905,            0.092565,             0.15609,                   0,            0.006337,            0.006337,            0.006337
                  39,             0.09924,             0.18137,                   0,             0.24475,               0.307,             0.14785,            0.035238,            0.096539,             0.15231,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.097552,             0.17491,                   0,             0.24475,               0.307,             0.14785,            0.035238,            0.096539,             0.15231,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.098413,             0.16678,                   0,             0.15997,             0.31725,             0.12432,            0.031015,             0.10028,             0.14778,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.10365,             0.17572,                   0,             0.15997,             0.31725,             0.12432,            0.031015,             0.10028,             0.14778,                   0,            0.005941,            0.005941,            0.005941
                  43,             0.10669,             0.19764,                   0,             0.15997,             0.31725,             0.12432,            0.031015,             0.10028,             0.14778,                   0,            0.005842,            0.005842,            0.005842
                  44,             0.10405,             0.17912,                   0,             0.18895,             0.34763,             0.14526,            0.041242,            0.099613,             0.14538,                   0,            0.005743,            0.005743,            0.005743
                  45,             0.10393,             0.17637,                   0,             0.18895,             0.34763,             0.14526,            0.041242,            0.099613,             0.14538,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.10122,             0.19915,                   0,             0.28165,             0.38826,             0.21119,            0.063035,            0.094856,             0.14455,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.096237,             0.18023,                   0,             0.28165,             0.38826,             0.21119,            0.063035,            0.094856,             0.14455,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.097386,             0.18548,                   0,             0.19237,             0.33409,             0.15883,            0.047686,            0.091846,             0.15008,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.094937,             0.17451,                   0,             0.19237,             0.33409,             0.15883,            0.047686,            0.091846,             0.15008,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.094652,             0.19542,                   0,             0.19237,             0.33409,             0.15883,            0.047686,            0.091846,             0.15008,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.092589,             0.21766,                   0,             0.23119,               0.307,             0.17575,            0.053871,            0.090228,             0.15195,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.091665,             0.18607,                   0,             0.23119,               0.307,             0.17575,            0.053871,            0.090228,             0.15195,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.091327,             0.18372,                   0,             0.32958,             0.36117,             0.25071,            0.076161,            0.086557,              0.1506,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.088452,             0.16231,                   0,             0.32958,             0.36117,             0.25071,            0.076161,            0.086557,              0.1506,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.08482,             0.20248,                   0,              0.3084,             0.32957,             0.23959,            0.066359,            0.088039,             0.15215,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.089078,             0.21499,                   0,              0.3084,             0.32957,             0.23959,            0.066359,            0.088039,             0.15215,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.088534,             0.19589,                   0,             0.29429,               0.353,             0.24894,            0.077109,            0.081404,             0.15085,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.083733,             0.18787,                   0,             0.29429,               0.353,             0.24894,            0.077109,            0.081404,             0.15085,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.080541,             0.19732,                   0,             0.29429,               0.353,             0.24894,            0.077109,            0.081404,             0.15085,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.084239,             0.19826,                   0,             0.31042,             0.38149,             0.24784,            0.079489,            0.080163,             0.15077,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.084005,             0.17557,                   0,             0.31042,             0.38149,             0.24784,            0.079489,            0.080163,             0.15077,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.079929,             0.19716,                   0,             0.37329,             0.39665,             0.28915,            0.098822,            0.077245,             0.15198,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.083857,             0.23028,                   0,             0.37329,             0.39665,             0.28915,            0.098822,            0.077245,             0.15198,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.079115,             0.18662,                   0,             0.39707,             0.37246,             0.32656,             0.11704,            0.076571,             0.15337,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.079928,             0.18699,                   0,             0.39707,             0.37246,             0.32656,             0.11704,            0.076571,             0.15337,                   0,            0.003664,            0.003664,            0.003664
                  66,             0.07733,             0.20251,                   0,             0.39707,             0.37246,             0.32656,             0.11704,            0.076571,             0.15337,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.079265,             0.19374,                   0,              0.4006,             0.36057,             0.32404,             0.11752,            0.076517,             0.15675,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.080084,             0.22195,                   0,              0.4006,             0.36057,             0.32404,             0.11752,            0.076517,             0.15675,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.080884,             0.17284,                   0,             0.43511,             0.37698,             0.35069,             0.12449,            0.075163,             0.15318,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.079057,              0.1931,                   0,             0.43511,             0.37698,             0.35069,             0.12449,            0.075163,             0.15318,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.076592,             0.18304,                   0,             0.46969,             0.44185,             0.37612,             0.13209,            0.073492,             0.15181,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.077495,             0.18509,                   0,             0.46969,             0.44185,             0.37612,             0.13209,            0.073492,             0.15181,                   0,            0.002971,            0.002971,            0.002971
                  73,              0.0802,             0.21386,                   0,             0.36859,             0.44244,             0.29595,            0.099144,            0.075076,             0.15134,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.07779,             0.18052,                   0,             0.36859,             0.44244,             0.29595,            0.099144,            0.075076,             0.15134,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.076005,             0.19502,                   0,             0.36859,             0.44244,             0.29595,            0.099144,            0.075076,             0.15134,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.073188,             0.22653,                   0,             0.41647,             0.42438,             0.34138,             0.12127,            0.073708,             0.15264,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.076442,             0.18861,                   0,             0.41647,             0.42438,             0.34138,             0.12127,            0.073708,             0.15264,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.075111,             0.20782,                   0,             0.48473,              0.4447,             0.39739,             0.15785,            0.071043,             0.15206,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.076203,             0.19977,                   0,             0.48473,              0.4447,             0.39739,             0.15785,            0.071043,             0.15206,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.077757,             0.19972,                   0,             0.49116,             0.45372,             0.39341,             0.14834,            0.071409,             0.15096,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.073888,             0.18207,                   0,             0.49116,             0.45372,             0.39341,             0.14834,            0.071409,             0.15096,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.073784,             0.20152,                   0,             0.49116,             0.45372,             0.39341,             0.14834,            0.071409,             0.15096,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.071952,             0.18035,                   0,             0.50421,             0.44695,             0.39871,             0.15276,            0.070653,             0.15119,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.075685,             0.21659,                   0,             0.50421,             0.44695,             0.39871,             0.15276,            0.070653,             0.15119,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.075925,             0.20319,                   0,             0.55366,             0.48081,             0.42596,             0.16877,            0.069699,             0.15141,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.077238,             0.17923,                   0,             0.55366,             0.48081,             0.42596,             0.16877,            0.069699,             0.15141,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.075863,             0.19681,                   0,             0.54255,             0.48081,             0.43125,             0.17318,            0.069197,             0.15176,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.069705,             0.18136,                   0,             0.54255,             0.48081,             0.43125,             0.17318,            0.069197,             0.15176,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.072093,             0.21897,                   0,             0.49625,             0.44695,             0.39413,             0.15111,            0.070176,             0.15145,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.074225,             0.17587,                   0,             0.49625,             0.44695,             0.39413,             0.15111,            0.070176,             0.15145,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.074516,             0.18634,                   0,             0.49625,             0.44695,             0.39413,             0.15111,            0.070176,             0.15145,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.073756,             0.19749,                   0,             0.47892,             0.45147,              0.3762,             0.14349,            0.071064,             0.15142,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.072211,             0.19761,                   0,             0.47892,             0.45147,              0.3762,             0.14349,            0.071064,             0.15142,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.072925,             0.20429,                   0,              0.4789,             0.47091,             0.38216,             0.14777,            0.069765,             0.15184,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.070796,             0.21128,                   0,              0.4789,             0.47091,             0.38216,             0.14777,            0.069765,             0.15184,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.074092,              0.1978,                   0,             0.50842,             0.46693,             0.39807,              0.1543,            0.068639,             0.15193,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.072098,             0.20342,                   0,             0.50842,             0.46693,             0.39807,              0.1543,            0.068639,             0.15193,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.070556,             0.19208,                   0,             0.50842,             0.46693,             0.39807,              0.1543,            0.068639,             0.15193,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.071257,             0.17091,                   0,             0.52174,             0.46275,             0.41107,             0.15903,            0.068629,             0.15196,                   0,            0.000298,            0.000298,            0.000298
